method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k,sample
maxsum,,1.4117325948008237,0.9778492857018317,1.0,0.7639103008844036,0.3897849462365592,5,"arap1274,khak1248,nepa1254,panj1256,shon1251"
maxmin,,1.1913415946277461,0.9662295234836993,1.0,0.7690527817291224,0.3888888888888889,5,"arap1274,bash1264,icel1247,khak1248,panj1256"
convenience,,0.9317325948008236,0.5222349046793042,0.8,0.5182692921521308,0.6776190476190477,5,"icel1247,iris1253,nucl1235,panj1256,stan1290"
random,,1.0811460945412077,0.976760475563735,1.0,0.6732050807568877,0.391304347826087,5,"huic1243,icel1247,khak1248,stan1290,veps1250"
random_family,,1.4117325948008237,0.9615084525127295,1.0,0.6732050807568877,0.35714285714285715,5,"baur1253,egyp1253,kich1262,shon1251,veps1250"
random_genus,,1.4011460945412075,0.8490224995673064,1.0,0.5707666190284313,0.4666666666666667,5,"egyp1253,huic1243,icel1247,tata1255,veps1250"
