Lang_ID,arap1274,bash1264,baur1253,bisl1239,egyp1253,fiji1243,huic1243,icel1247,iris1253,khak1248,kich1262,mamm1241,nepa1254,nucl1235,panj1256,shon1251,stan1290,tata1255,veps1250,yaqu1251
arap1274,0.0,0.8164965809277259,0.8660254037844386,0.0,1.0,0.0,0.0,0.5,0.4472135954999579,1.0,0.0,0.8944271909999159,1.0,0.0,0.6324555320336759,0.5,0.0,0.4472135954999579,1.0,0.5
bash1264,0.8164965809277259,0.0,0.0,0.8164965809277259,0.0,1.0,0.8164965809277259,1.0,1.0,0.5773502691896257,0.8164965809277259,0.0,0.0,0.0,0.8164965809277259,0.7071067811865476,0.8164965809277259,1.0,0.5773502691896257,0.8164965809277259
baur1253,0.8660254037844386,0.0,0.0,0.8164965809277259,0.0,1.0,0.8660254037844386,1.0,1.0,0.5,0.8660254037844386,0.0,0.0,0.7071067811865476,0.5,1.0,0.8660254037844386,1.0,0.5,0.5773502691896257
bisl1239,0.0,0.8164965809277259,0.8164965809277259,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.8660254037844386,1.0,0.0,0.5,0.5773502691896257,0.0,0.5,1.0,0.0
egyp1253,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fiji1243,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7071067811865476,0.5,0.0,0.0,1.0,0.5773502691896257
huic1243,0.0,0.8164965809277259,0.8660254037844386,0.0,1.0,0.0,0.0,0.5,0.4472135954999579,1.0,0.0,0.8944271909999159,1.0,0.0,0.6324555320336759,0.5,0.0,0.4472135954999579,1.0,0.5
icel1247,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.8660254037844386,0.5,1.0,1.0,0.7071067811865476,0.7071067811865476,0.5773502691896257,0.5,0.0,0.8660254037844386,0.5773502691896257
iris1253,0.4472135954999579,1.0,1.0,0.5,1.0,0.0,0.4472135954999579,0.0,0.0,0.8944271909999159,0.4472135954999579,1.0,1.0,0.7071067811865476,0.7745966692414833,0.5,0.4472135954999579,0.0,0.8944271909999159,0.7071067811865476
khak1248,1.0,0.5773502691896257,0.5,1.0,0.0,1.0,1.0,0.8660254037844386,0.8944271909999159,0.0,1.0,0.4472135954999579,0.0,1.0,0.7745966692414833,0.8660254037844386,1.0,0.8944271909999159,0.0,0.8660254037844386
kich1262,0.0,0.8164965809277259,0.8660254037844386,0.0,1.0,0.0,0.0,0.5,0.4472135954999579,1.0,0.0,0.8944271909999159,1.0,0.0,0.6324555320336759,0.5,0.0,0.4472135954999579,1.0,0.5
mamm1241,0.8944271909999159,0.0,0.0,0.8660254037844386,0.0,1.0,0.8944271909999159,1.0,1.0,0.4472135954999579,0.8944271909999159,0.0,0.0,0.7071067811865476,0.6324555320336759,0.8660254037844386,0.8944271909999159,1.0,0.4472135954999579,0.7071067811865476
nepa1254,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
nucl1235,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,1.0,0.0
panj1256,0.6324555320336759,0.8164965809277259,0.5,0.5,0.0,0.7071067811865476,0.6324555320336759,0.7071067811865476,0.7745966692414833,0.7745966692414833,0.6324555320336759,0.6324555320336759,1.0,0.7071067811865476,0.0,0.8660254037844386,0.6324555320336759,0.7745966692414833,0.7745966692414833,0.0
shon1251,0.5,0.7071067811865476,1.0,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,0.5,0.8660254037844386,0.5,0.8660254037844386,1.0,0.0,0.8660254037844386,0.0,0.5,0.5,0.8660254037844386,0.8164965809277259
stan1290,0.0,0.8164965809277259,0.8660254037844386,0.0,1.0,0.0,0.0,0.5,0.4472135954999579,1.0,0.0,0.8944271909999159,1.0,0.0,0.6324555320336759,0.5,0.0,0.4472135954999579,1.0,0.5
tata1255,0.4472135954999579,1.0,1.0,0.5,1.0,0.0,0.4472135954999579,0.0,0.0,0.8944271909999159,0.4472135954999579,1.0,1.0,0.7071067811865476,0.7745966692414833,0.5,0.4472135954999579,0.0,0.8944271909999159,0.7071067811865476
veps1250,1.0,0.5773502691896257,0.5,1.0,0.0,1.0,1.0,0.8660254037844386,0.8944271909999159,0.0,1.0,0.4472135954999579,0.0,1.0,0.7745966692414833,0.8660254037844386,1.0,0.8944271909999159,0.0,0.8660254037844386
yaqu1251,0.5,0.8164965809277259,0.5773502691896257,0.0,0.0,0.5773502691896257,0.5,0.5773502691896257,0.7071067811865476,0.8660254037844386,0.5,0.7071067811865476,1.0,0.0,0.0,0.8164965809277259,0.5,0.7071067811865476,0.8660254037844386,0.0
