verses;avg_subwords;glottocode
verses/hat.txt;53.072;hait1244
verses/hch.txt;64.124;huic1243
verses/heh.txt;49.144;hehe1240
verses/hil.txt;51.037;hili1240
verses/hix.txt;126.679;hixk1239
verses/hla.txt;62.526;hali1244
verses/hot.txt;66.413;hote1245
verses/hto.txt;81.547;mini1256
verses/hub.txt;60.538;huam1247
verses/hui.txt;60.896;huli1244
verses/hun.txt;42.045;hung1274
verses/hus.txt;74.303;huas1242
verses/huu.txt;73.37;muru1274
verses/hvn.txt;66.269;sabu1255
verses/ian.txt;69.569;iatm1242
verses/iba.txt;44.865;iban1264
verses/ibo.txt;69.436;nucl1417
verses/icr.txt;55.468;sana1297
verses/ifk.txt;51.178;tuwa1243
verses/ify.txt;58.916;kele1259
verses/ign.txt;70.681;igna1246
verses/ilo.txt;50.358;ilok1237
verses/inb.txt;62.131;inga1252
verses/ind.txt;38.608;indo1316
verses/irk.txt;63.984;iraq1241
verses/iry.txt;52.428;iray1237
verses/isd.txt;62.114;isna1241
verses/isl.txt;39.023;icel1247
verses/ivb.txt;64.755;ibat1238
verses/ivv.txt;49.471;ivat1242
verses/jac.txt;80.477;popt1235
verses/jav.txt;54.355;java1254
verses/jbu.txt;57.875;juku1254
verses/jiv.txt;61.662;shua1257
verses/jra.txt;82.875;jara1266
verses/jvn.txt;52.169;cari1276
verses/kac.txt;69.265;kach1280
verses/kan.txt;43.95;nucl1305
verses/kaq.txt;56.587;capa1241
verses/kbm.txt;72.661;iwal1237
verses/kbq.txt;64.445;kama1370
verses/kck.txt;46.772;kala1384
verses/kde.txt;50.479;mako1251
verses/kew.txt;57.188;west2599
verses/kgp.txt;98.392;kain1272
verses/khk.txt;47.098;halh1238
verses/khz.txt;56.85;keap1239
verses/kia.txt;52.357;kimm1246
verses/kik.txt;70.074;kiku1240
verses/kjb.txt;75.254;qanj1241
verses/kjs.txt;57.168;east2516
verses/kki.txt;45.433;kagu1239
verses/kmk.txt;56.233;limo1248
verses/kmm.txt;58.319;komi1270
verses/kms.txt;64.285;kama1367
verses/kmu.txt;74.363;kani1286
verses/kne.txt;52.159;kank1243
verses/knj.txt;83.235;west2635
verses/kog.txt;81.598;cogu1240
verses/kpg.txt;59.327;kapi1249
verses/kpj.txt;64.35;kara1500
verses/kpr.txt;70.971;kora1294
verses/kpw.txt;88.518;kobo1249
verses/kpx.txt;56.016;moun1252
verses/kqc.txt;50.271;doro1266
verses/kqe.txt;60.323;kala1388
verses/krj.txt;55.046;kina1250
verses/ksd.txt;47.473;kuan1248
verses/ksf.txt;99.044;bafi1243
verses/ksp.txt;57.615;kaba1281
verses/kua.txt;48.722;kuan1247
verses/kub.txt;80.398;kute1248
verses/kue.txt;56.93;kuma1280
verses/kup.txt;72.552;kuni1267
verses/kvj.txt;69.041;psik1239
verses/kvn.txt;77.416;bord1248
verses/kwd.txt;86.568;kwai1243
verses/kwf.txt;85.451;kwar1239
verses/kwi.txt;57.115;awac1239
verses/kxw.txt;90.741;kona1242
verses/kyq.txt;89.418;keng1240
verses/kzf.txt;64.069;daak1235
verses/lai.txt;54.108;lamb1272
verses/laj.txt;47.621;lang1324
verses/lav.txt;39.487;latv1249
verses/lbk.txt;57.017;cent2292
verses/lcm.txt;52.788;tung1290
verses/lem.txt;105.956;noma1260
verses/leu.txt;56.573;kara1486
verses/lex.txt;75.509;luan1263
verses/lgm.txt;43.271;lega1250
verses/lhi.txt;85.95;lahu1252
verses/lhu.txt;109.716;lahu1253
verses/lin.txt;54.57;ling1263
verses/lip.txt;75.69;sekp1241
verses/lit.txt;37.321;lith1251
verses/lmk.txt;54.205;lamk1238
verses/lol.txt;48.869;mong1338
verses/lom.txt;74.135;loma1260
verses/loz.txt;52.276;lozi1239
verses/lsm.txt;59.055;saam1283
verses/lug.txt;49.87;gand1255
verses/lww.txt;92.897;lewo1242
verses/mad.txt;58.67;nucl1460
verses/mah.txt;56.588;mars1254
verses/mak.txt;65.77;maka1311
verses/mal.txt;45.214;mala1464
verses/mam.txt;67.767;mamm1241
verses/mbb.txt;76.408;west2555
verses/mbc.txt;98.054;macu1259
verses/mbh.txt;64.185;mang1403
verses/mbi.txt;75.195;ilia1236
verses/mbl.txt;91.014;maxa1247
verses/mbs.txt;62.663;sara1327
verses/mbt.txt;60.702;mati1250
verses/mcb.txt;67.412;mach1267
verses/mcf.txt;75.668;mats1244
verses/mcn.txt;50.259;masa1322
verses/mcp.txt;88.725;maka1304
verses/mcq.txt;58.338;esee1247
verses/med.txt;85.19;melp1238
verses/mee.txt;65.9;meng1267
verses/mej.txt;80.005;meya1236
verses/mek.txt;73.517;meke1243
verses/men.txt;63.583;mend1266
verses/meu.txt;49.689;motu1246
verses/mfi.txt;75.189;wand1278
verses/mfq.txt;79.179;moba1244
verses/mfy.txt;61.823;mayo1264
verses/mhi.txt;51.696;madi1260
verses/mhl.txt;60.756;mauw1238
verses/mhx.txt;83.561;maru1249
verses/mhy.txt;51.432;maan1238
verses/mic.txt;74.684;mikm1235
verses/mig.txt;88.406;sanm1295
verses/min.txt;66.033;mina1268
verses/miq.txt;53.52;misk1235
verses/mjw.txt;52.546;karb1241
verses/mkn.txt;65.523;kupa1239
verses/mlp.txt;70.745;barg1252
verses/mlt.txt;58.062;malt1254
verses/mmn.txt;61.304;mama1275
verses/mmo.txt;62.075;mang1404
verses/mmx.txt;60.221;mada1285
verses/mnb.txt;56.595;muna1247
verses/mnk.txt;60.56;mand1436
verses/moc.txt;85.461;moco1246
verses/mop.txt;94.684;mopa1243
verses/mor.txt;70.917;moro1285
verses/mps.txt;85.721;dadi1250
verses/mpt.txt;60.686;mian1256
verses/mpx.txt;59.005;misi1243
verses/mqy.txt;54.522;mang1405
verses/mri.txt;53.791;maor1246
verses/mrw.txt;54.558;mara1404
verses/msb.txt;49.582;masb1238
verses/msk.txt;64.142;mans1262
verses/msm.txt;60.523;agus1235
verses/mta.txt;72.443;cota1241
verses/mtg.txt;103.705;unaa1239
verses/mua.txt;57.185;mund1325
verses/muh.txt;96.655;mund1326
verses/mur.txt;69.232;murl1244
verses/mux.txt;93.632;boun1245
verses/mva.txt;62.359;mana1295
verses/mwq.txt;64.948;munc1235
verses/mxb.txt;103.177;tezo1238
verses/myu.txt;96.893;mund1330
verses/myw.txt;58.039;muyu1244
verses/myy.txt;96.533;macu1260
