method,entropy,k
mmdp,1.072446571263937,165
random,1.0091521061394084,170
random_family,1.0161962986205058,170
mdp,1.1033951821911265,150
random_genus,1.0156736679897693,165
mmdp,1.0703798143147796,170
random,1.0103016490436414,175
mdp,1.1023952742219596,155
random_family,1.0148279795083464,175
random_genus,1.0166950489005417,170
mmdp,1.0700808730931548,175
random,1.0130005822273824,180
random_family,1.0154358696755699,180
random_genus,1.01440192692613,175
mdp,1.103972587563401,160
mmdp,1.0688504714637919,180
random,1.0101582562937872,185
random_family,1.0167722963337362,185
mdp,1.1032172785262488,165
random_genus,1.0133787038621562,180
mmdp,1.0693486512832413,185
random,1.0082910253407504,190
random_family,1.0166970350786655,190
random_genus,1.012405781788013,185
mdp,1.1015127549838695,170
mmdp,1.0686264701468309,190
random,1.0109845910949178,195
random_family,1.0166670280169268,195
random_genus,1.0142025809927189,190
mdp,1.102799077300894,175
mmdp,1.0685466235099799,195
random,1.0108770245381542,200
random_family,1.01639827853759,200
random_genus,1.0151483395998466,195
mdp,1.1012439966108707,180
mmdp,1.0688864247609577,200
random,1.0116019251183475,205
random_family,1.0165942595755433,205
random_genus,1.01306869553785,200
mdp,1.1011424146249007,185
mmdp,1.0681631929785003,205
random,1.0116112413141811,210
random_family,1.0168222225296266,210
random_genus,1.0127260329489085,205
mdp,1.0989740789480051,190
mmdp,1.0676355304564031,210
random,1.0094857886629753,215
random_family,1.0169425132030063,215
random_genus,1.0161829710585335,210
mdp,1.0993449544442142,195
mmdp,1.06587395432206,215
random,1.0079541370507479,220
random_genus,1.0146237009026442,215
random_family,1.016295757690528,220
mdp,1.0981084244260542,200
mmdp,1.0658201772125526,220
random,1.0092813543171195,225
random_genus,1.0132598648917264,220
random_family,1.0158539406670388,225
mmdp,1.0648882907212645,225
mdp,1.0969665219439768,205
random,1.0152672743088438,230
random_genus,1.0160877633265089,225
random_family,1.0164101503409513,230
mmdp,1.0630240792863506,230
mdp,1.0964577228415797,210
random,1.0140707816291503,235
random_genus,1.0172700494766533,230
random_family,1.0163773080357128,235
mmdp,1.0632993866369467,235
mdp,1.0959754873244811,215
random,1.0098622946445273,240
random_genus,1.016090043099632,235
random_family,1.0161358775257603,240
mmdp,1.0635267279091818,240
mdp,1.0950597049814497,220
random,1.0102248942351755,245
random_genus,1.014137349078883,240
random_family,1.0153753895817323,245
mmdp,1.0630604631403524,245
random_genus,1.0149167112618152,245
random,1.0115135522405154,250
mdp,1.095121169437366,225
random_family,1.0147679414328086,250
mmdp,1.0626273182661414,250
random_genus,1.0152643481150334,250
random,1.0099686175396247,255
mdp,1.0943145212047207,230
random_family,1.0152541271662274,255
mmdp,1.0628119503181102,255
random_genus,1.0140810160988836,255
random,1.0109168173335452,260
mdp,1.0926702523688059,235
random_family,1.015099857126302,260
mmdp,1.0625190785792074,260
random_genus,1.0130684682096482,260
random,1.011568366412147,265
random_family,1.0154034639958749,265
mdp,1.0919424364689454,240
mmdp,1.0620829316225537,265
mdp,1.0909380870156433,245
random,1.0130487102412844,270
random_genus,1.0122472670743217,265
mmdp,1.0616232765064946,270
random_family,1.0143329507921053,270
random_genus,1.0134552480095909,270
random,1.0149241959892508,275
mdp,1.0905393448645275,250
random_family,1.0121041539543323,275
mmdp,1.0602624201506767,275
random_genus,1.0159692952677575,275
random,1.0126169404613592,280
mdp,1.0892255731445204,255
random_family,1.0127973035076379,280
mmdp,1.0601084190587389,280
random_genus,1.015849230214985,280
random,1.0108047945072411,285
mdp,1.0889894041289807,260
random_family,1.0149875823056775,285
mmdp,1.058597060904432,285
random_genus,1.0137294818779659,285
random,1.011178635309759,290
mmdp,1.0589929114571561,290
mdp,1.0887044140464621,265
random_family,1.0153254703252879,290
random_genus,1.01352403402101,290
random,1.0107960117948678,295
random_family,1.0134265042303294,295
mmdp,1.0589441874487278,295
mdp,1.0878154016737982,270
random_genus,1.0163689471071122,295
random,1.0088353300618784,300
mmdp,1.0584695133517972,300
random_family,1.014650623687362,300
mdp,1.0878420097202959,275
random_genus,1.017684997082488,300
random,1.007129860256725,305
mmdp,1.0578639600920232,305
random_family,1.016338682186421,305
mdp,1.087767259913001,280
random_genus,1.0145025655151214,305
random,1.0086089037911654,310
random_family,1.0164350916344747,310
mdp,1.0870284874802223,285
mmdp,1.0571617020074424,310
random_genus,1.0134019626524693,310
random,1.0116550965666764,315
mmdp,1.056762644498576,315
random_family,1.016435817004188,315
mdp,1.0864592596508154,290
random_genus,1.014705316495698,315
random,1.011234350828833,320
mmdp,1.056841825811374,320
random_family,1.0143955765967645,320
mdp,1.0863164277995714,295
random_genus,1.0157945128470032,320
random,1.008581976190558,325
random_family,1.0154236550354334,325
mmdp,1.0562453828126017,325
mdp,1.0864572435510271,300
random_genus,1.016072033342962,325
random,1.007965695877909,330
random_family,1.0163356628792608,330
mmdp,1.0561855597546856,330
mdp,1.085796461722228,305
random_genus,1.0155017573271852,330
random,1.009280573978714,335
random_family,1.0139653888723068,335
mmdp,1.0557737392983015,335
mdp,1.0859051985974455,310
random_genus,1.0154926452814892,335
random,1.0127050351035716,340
random_family,1.0134444418188482,340
mmdp,1.0560714032622835,340
mdp,1.085846273975746,315
random_genus,1.0156876215163695,340
random,1.0150979466441465,345
random_family,1.0144425773391759,345
mmdp,1.0547250984746452,345
random_genus,1.0144305630761794,345
mdp,1.0850901777448638,320
random,1.0122658177018873,350
random_family,1.0152014641331926,350
mmdp,1.0544218896827977,350
random_genus,1.0137780817804891,350
mdp,1.0847163071607349,325
random,1.0083962586797484,355
random_family,1.0144853756495074,355
mmdp,1.0532155666650715,355
random_genus,1.014473929911098,355
mdp,1.0842298009075506,330
random,1.009478646059108,360
mmdp,1.0528917633600636,360
random_family,1.0138773049312857,360
mdp,1.08407747828914,335
random_genus,1.0144840780710633,360
random,1.0128435037112493,365
random_family,1.0150816381049181,365
mmdp,1.0516773009594964,365
random_genus,1.0133645545795478,365
mdp,1.083124076993909,340
random,1.0143442609950664,370
random_family,1.0163962450224333,370
mmdp,1.0513822864281814,370
random_genus,1.014332820830048,370
mdp,1.0826231594995201,345
random,1.0117977388975852,375
mmdp,1.0507036964294023,375
random_family,1.0151273933063976,375
random_genus,1.015403330663227,375
mdp,1.0822626954536787,350
random,1.0105446219843224,380
mmdp,1.0508113747591419,380
random_family,1.0132534541533436,380
random_genus,1.0157786280208578,380
mdp,1.0817702997430765,355
random,1.0105928217427254,385
random_family,1.0123438725984069,385
mmdp,1.050828679012525,385
random_genus,1.0161718434465392,385
mdp,1.0812508949419783,360
random,1.0114621353084203,390
random_family,1.0118444750953721,390
mmdp,1.050388741438673,390
random_genus,1.0150696032315518,390
mdp,1.080765823021755,365
random,1.0119019272282168,395
mmdp,1.050310785588437,395
random_family,1.0119706671962334,395
random_genus,1.014803018057443,395
mdp,1.0807283945562758,370
random,1.011992306267762,400
mmdp,1.0497884865679552,400
random_family,1.0120564177202755,400
random_genus,1.015732241990556,400
mdp,1.080253876929758,375
random,1.0114631930941456,405
mmdp,1.0487653975299167,405
random_family,1.0137278904467935,405
random_genus,1.0153824291389781,405
mdp,1.0792515396408267,380
random,1.0098902019992084,410
mmdp,1.0478366642066712,410
random_family,1.0146915623658397,410
random_genus,1.0157739183688772,410
mdp,1.0790427409165695,385
random,1.0105834438399337,415
mmdp,1.0485190826212474,415
random_family,1.0137899002467783,415
random_genus,1.0150929606360573,415
mdp,1.0785940337830293,390
random,1.012333484292049,420
mmdp,1.0481416819190117,420
random_family,1.012680304564249,420
random_genus,1.015863882139198,420
mdp,1.0782339635383862,395
random,1.012341798228308,425
mmdp,1.0478976669343676,425
random_genus,1.017266023462427,425
random_family,1.0131090951897037,425
mdp,1.0779743790290546,400
random,1.0114733094127215,430
mmdp,1.0478194574581383,430
random_family,1.014197079670028,430
random_genus,1.0162066112253536,430
mmdp,1.0475337728672787,435
random,1.0098628249303223,435
mdp,1.078429848840347,405
random_family,1.0154084421463785,435
random_genus,1.0151387133980918,435
mdp,1.0791224537132658,410
random,1.0091147115768475,440
mmdp,1.0472066149762107,440
random_family,1.0126086125606097,440
random_genus,1.0151592907738707,440
mmdp,1.0468543463222564,445
random,1.0091540669033219,445
random_family,1.012749315117269,445
mdp,1.0786631311572965,415
random_genus,1.0149900943877757,445
mdp,1.0780061503065583,420
random,1.0094646007623247,450
mmdp,1.046258208315285,450
random_family,1.014330553953639,450
random_genus,1.0154402063810388,450
mmdp,1.0464758367806104,455
random,1.0104904479588543,455
mdp,1.0781343620818546,425
random_family,1.0151960851517638,455
random_genus,1.0155345680662689,455
mmdp,1.0461344514073765,460
random,1.0115708549194682,460
mdp,1.0784304699389375,430
random_family,1.0154440489666476,460
random_genus,1.015100013478286,460
mmdp,1.0456592873967119,465
random,1.011367548025486,465
mdp,1.077886627116893,435
random_family,1.0141287821958564,465
random_genus,1.0150576169764285,465
mmdp,1.045724391042434,470
random,1.0093808040049022,470
mdp,1.0777602223480627,440
random_family,1.0134379191876426,470
random_genus,1.0146838530558813,470
mmdp,1.0453936797758077,475
random,1.0085231973318403,475
mdp,1.0783706636055175,445
random_family,1.0134961366425317,475
random_genus,1.013693422896704,475
mmdp,1.0451983311238966,480
random,1.0104958011288274,480
mdp,1.0779812051625797,450
random_family,1.0142549585313418,480
random_genus,1.0147862214152705,480
mmdp,1.0449996983112722,485
random,1.010429904300754,485
random_family,1.0136418423996174,485
mdp,1.078404693515344,455
random_genus,1.0152833349739314,485
mmdp,1.044017337740243,490
random,1.0090412143651188,490
mdp,1.0781482393793023,460
random_family,1.0121132696793975,490
random_genus,1.0158400256231428,490
mmdp,1.044149454625116,495
random,1.008871064326934,495
mdp,1.0779086252528707,465
random_family,1.0127254352701034,495
random_genus,1.015714830559884,495
mmdp,1.0437412930232575,500
random,1.0092627244678514,500
random_family,1.0150302329880867,500
mdp,1.077072797634457,470
random_genus,1.015139259263136,500
mdp,1.0770792119271515,475
mdp,1.077239078928198,480
mdp,1.0772985960649017,485
mdp,1.0776078856645772,490
mdp,1.0774204310125957,495
mdp,1.0777396851754077,500
