method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
convenience,0,0.7918872995324001,0.5849610080414419,0.8708133971291866,7.914769845750529,0.6839446565916065,11
mdp,0,1.2108040752459763,0.6382131755343515,0.8660287081339713,10.13391366379759,0.4625918310832159,11
mmdp,0,1.2847849374878493,0.66270533646172,0.8803827751196173,9.900768189855825,0.5054378169514697,11
random,0,1.205889585355331,0.6086210024612698,0.8732057416267942,8.343654972784718,0.6438044027564837,11
random,1,1.1427667426068477,0.6050382451806114,0.8660287081339713,8.417806393228283,0.6145404764435375,11
random,2,1.2001452278526499,0.6157983696177125,0.8732057416267942,8.32897234901539,0.6249774459766229,11
random,3,1.0586630537711132,0.6115422407288029,0.8827751196172249,8.145439324252964,0.6610202629572202,11
random,4,1.1084115963112517,0.6234905043945,0.8899521531100478,8.379048239486133,0.6229253900210224,11
random,5,1.1117494413379847,0.547198766924367,0.8516746411483254,7.849133372214764,0.7075008126606611,11
random,6,1.013413754578973,0.6449986419835245,0.9066985645933014,8.328618917220444,0.6545973999554293,11
random,7,1.1769909047723712,0.6255260760559596,0.8899521531100478,8.525554632512574,0.6294370797212863,11
random,8,1.0547123306958066,0.546150089182597,0.8421052631578947,8.021956788690515,0.6585291705981441,11
random,9,1.0969389246248187,0.6230035619991452,0.8971291866028708,8.445436406483006,0.647529673076517,11
random,10,1.0053374868886469,0.6612909535676218,0.916267942583732,8.479331778858635,0.6292034294772034,11
random,11,1.0486117555076613,0.5671967000737693,0.8492822966507177,8.00745363226947,0.6722198423277568,11
random,12,1.0509361215779567,0.5978908619942164,0.8708133971291866,8.095997778305382,0.6775701120421878,11
random,13,1.0993948044210478,0.6129071110664218,0.8851674641148325,8.42110432849957,0.644716410678424,11
random,14,1.0584842236946383,0.6116514298864796,0.8899521531100478,8.237802968863082,0.6419290195066351,11
random,15,1.025675237365847,0.5806989326886106,0.854066985645933,7.922026511708583,0.6869875226766868,11
random,16,0.9993541466999081,0.6059073299544319,0.8827751196172249,8.070220518507435,0.6772368222575309,11
random,17,1.0987812672195096,0.6011596477244551,0.8755980861244019,8.122796141275591,0.6592011501610675,11
random,18,1.1528343420178002,0.5856821392954853,0.861244019138756,8.416624623112165,0.6557112349026945,11
random,19,1.029793074008522,0.5698649615898727,0.861244019138756,8.150326555301504,0.646304681663713,11
random,20,1.0923398709719614,0.5572993949539015,0.861244019138756,7.879581671004485,0.672665106916777,11
random,21,1.2284710493041306,0.598860944180666,0.8636363636363636,8.37214265130985,0.5848753989551225,11
random,22,1.0512323164526438,0.6780476701970656,0.916267942583732,8.51054445022302,0.6388294114309241,11
random,23,1.0513624378086177,0.6852240896964142,0.9186602870813397,8.541649884028118,0.6395087092723472,11
random,24,1.147208322204485,0.600790908764349,0.861244019138756,8.204239705677763,0.64281122974518,11
random,25,1.0766157320869003,0.6201534326363286,0.8827751196172249,8.40524722679277,0.646325490731849,11
random,26,1.070689054766017,0.6365546850135999,0.9090909090909091,8.372084385692801,0.643365164611243,11
random,27,1.1163397729660782,0.5610358935765314,0.84688995215311,8.373401872523651,0.6439966628563283,11
random,28,1.078902648733984,0.5848041098867316,0.8708133971291866,8.070256143423382,0.6766056859510705,11
random,29,1.0762761246398553,0.6084269535669896,0.8827751196172249,8.39260088189662,0.6427365694055113,11
random,30,0.9782379388796671,0.565165159642245,0.854066985645933,7.968453532528654,0.6733154244867425,11
random,31,1.0512203736920407,0.5257358425557067,0.8397129186602871,7.4727461379080315,0.7040504344521692,11
random,32,1.1576700994149052,0.6204858375321228,0.8755980861244019,8.433266269667294,0.6261114011263286,11
random,33,1.0318295086100249,0.5906459818053598,0.868421052631579,7.886673152616259,0.7091101995877249,11
random,34,1.0869746690593753,0.5970061452436077,0.8827751196172249,8.101821027277682,0.6580131763288819,11
random,35,1.0771019326537081,0.5862220124806822,0.8755980861244019,8.275147140174148,0.6624845089283599,11
random,36,1.1219520999653427,0.6427557599958122,0.8875598086124402,8.413098993085988,0.634847855553238,11
random,37,1.0883207317816113,0.5986947229919186,0.8708133971291866,8.549229210747349,0.616604383314791,11
random,38,1.0742797436706049,0.6165036582675091,0.8899521531100478,8.234379120131724,0.6770150664083315,11
random,39,1.1660835115386818,0.6265974475057531,0.8875598086124402,8.566382086356311,0.6140977859794579,11
random,40,1.0725452868632748,0.5682942060578817,0.861244019138756,7.905625769886161,0.6883636611161684,11
random,41,1.0435741355150479,0.6153209281753866,0.8755980861244019,8.266398076573989,0.6526315587413923,11
random,42,1.164122640708072,0.5874515479270529,0.8636363636363636,8.51051143717675,0.6265741797775167,11
random,43,1.1863227906096998,0.6251919203620107,0.8875598086124402,8.396044540815065,0.628794820859869,11
random,44,1.1591038822523574,0.5913289043098985,0.868421052631579,8.31731905702644,0.6352885809392402,11
random,45,1.174435130003836,0.6102033323343878,0.8660287081339713,8.538964000960528,0.6302630163377941,11
random,46,1.0902413097412784,0.5907854461271603,0.868421052631579,8.168199249656702,0.6537484526232002,11
random,47,1.096750487357119,0.616568620316571,0.8660287081339713,8.321010085099,0.6537889500797566,11
random,48,1.0934154771351865,0.6079454984259677,0.8851674641148325,8.051896076294014,0.6609995349471801,11
random,49,1.0413440952528719,0.5755254308081668,0.8564593301435407,8.075554923441066,0.6656041550948129,11
random,50,1.1236824030442825,0.6091691512846885,0.8755980861244019,8.160076345178615,0.6565023960228322,11
random,51,1.1187987919767253,0.5710690204376886,0.8660287081339713,7.8822373111763975,0.682291717432535,11
random,52,1.0917169531015878,0.6704331345398203,0.9066985645933014,8.439987248642737,0.6344065784647189,11
random,53,1.1488964202143523,0.5819730896419266,0.854066985645933,8.298863295796842,0.6438878674389092,11
random,54,1.0494635915943789,0.6019728584565568,0.8827751196172249,8.073224830215697,0.6617233168638058,11
random,55,1.1673613934697358,0.6585187421152019,0.8971291866028708,8.525157203745515,0.6254219298076964,11
random,56,1.1614296119282284,0.5889591107774761,0.8444976076555024,8.640581851993197,0.6170522075338585,11
random,57,1.0962073110563395,0.6345592776744313,0.8947368421052632,8.441552032336594,0.6505088730409447,11
random,58,1.1453675154976737,0.5538451025429727,0.8397129186602871,8.007805778112042,0.6759208731793915,11
random,59,1.0193158502027428,0.5949195781345464,0.8732057416267942,8.14426197628533,0.6532147306206262,11
random,60,1.0279546091594256,0.5967595076835769,0.8875598086124402,7.995908194592693,0.6648258703448383,11
random,61,1.1262691832299594,0.6268570040554632,0.8899521531100478,8.334431265326232,0.6438588506542141,11
random,62,1.11116061511977,0.5957109835601551,0.8708133971291866,8.146301939609177,0.6605511504576823,11
